step,training_loss,validation_loss
7490,1.9972,
7500,1.9146,
7510,1.9532,
7520,1.8935,
7530,1.7489,
7540,1.8333,
7550,1.8468,
7560,1.9302,
7570,2.4825,
7580,2.2289,
7590,1.8547,
7600,1.7845,
7610,1.8774,
7620,2.2544,
7630,2.2398,
7640,2.0837,
7650,1.9942,
7660,1.9054,
7670,1.8604,
7680,1.783,
7690,1.7591,
7700,1.6241,
7710,2.0148,
7720,2.5409,
7730,1.8258,
7740,2.0871,
7750,2.0421,
7760,1.9253,
7770,1.9812,
7780,1.7646,
7790,2.2121,
7800,1.9113,
7810,1.7187,
7820,1.8457,
7830,2.0747,
7840,2.2853,
7850,2.002,
7860,1.9643,
7870,1.9072,
7880,1.9892,
7890,2.0949,
7900,2.2688,
7910,1.9749,
7920,1.8185,
7930,2.0743,
7940,2.1926,
7950,2.0222,
7960,2.1332,
7970,2.4351,
7980,1.8758,
7990,2.0027,
8000,1.9662,
8010,1.9678,
8020,2.1026,
8030,1.5529,
8040,1.8667,
8050,2.3915,
8060,2.1888,
8070,1.9602,
8080,2.0162,
8090,2.1323,
8100,1.8053,
8110,1.7429,
8120,1.8903,
8130,2.2621,
8140,2.0979,
8150,2.2434,
8160,1.9184,
8170,1.9435,
8180,2.2066,
8190,1.965,
8200,2.224,
8210,1.7245,
8220,1.8767,
8230,2.1355,
8240,2.3682,
8250,1.9653,
8260,2.1722,
8270,1.9865,
8280,1.9977,
8290,1.8199,
8300,2.0687,
8310,2.0233,
8320,2.0708,
8330,1.857,
8340,1.9213,
8350,2.2074,
8360,1.7939,
8370,1.6464,
8380,1.9103,
8390,1.9238,
8400,2.034,
8410,1.8273,
8420,2.432,
8430,2.3764,
8440,1.9861,
8450,1.8942,
8460,1.9609,
8470,2.1954,
8480,1.764,
8490,2.3491,
8500,2.2343,
8510,1.7686,
8520,1.9821,
8530,2.167,
8540,1.9348,
8550,2.0001,
8560,2.0696,
8570,1.8867,
8580,1.8611,
8590,2.0808,
8600,1.8676,
8610,1.9148,
8620,1.8753,
8630,2.2007,
8640,1.959,
8650,2.0433,
8660,2.1147,
8670,2.1353,
8680,1.8493,
8690,1.7387,
8700,1.9376,
8710,2.026,
8720,2.3107,
8730,2.2204,
8740,1.9708,
8750,1.9586,
8760,1.9819,
8770,1.9334,
8780,2.3246,
8790,1.9105,
8800,1.862,
8810,2.0461,
8820,2.13,
8830,1.9495,
8840,2.1112,
8850,1.6899,
8860,2.5771,
8870,2.3234,
8880,1.7587,
8890,2.2106,
8900,2.3721,
8910,2.1328,
8920,1.8519,
8930,2.1186,
8940,1.8569,
8950,1.5906,
8960,1.7597,
8970,2.1303,
8980,1.6063,
8990,2.4581,
9000,2.4804,
9010,1.9408,
9020,1.9673,
9030,2.0183,
9040,1.9835,
9050,1.8334,
9060,2.0834,
9070,1.8308,
9080,2.0101,
9090,1.8571,
9100,2.2119,
9110,2.0973,
9120,2.1632,
9130,1.8826,
9140,2.18,
9150,1.9723,
9160,2.0507,
9170,1.8867,
9180,2.1282,
9190,2.0878,
9200,1.8085,
9210,2.2113,
9220,2.2173,
9230,2.3578,
9240,2.1844,
9250,2.0184,
9260,2.2454,
9270,1.9952,
9280,2.3069,
9290,2.182,
9300,1.9529,
9310,1.7565,
9320,2.0799,
9330,1.9919,
9340,1.8687,
9350,2.4346,
9360,2.1491,
9370,1.8993,
9380,2.0698,
9390,1.8368,
9400,1.778,
9410,2.0455,
9420,1.8508,
9430,1.8901,
9440,2.0923,
9450,2.0825,
9460,1.913,
9470,2.2775,
9480,1.9826,
9490,1.9492,
9500,1.8674,
9510,1.8488,
9520,1.8417,
9530,1.6675,
9540,2.0423,
9550,1.9368,
9560,1.9481,
9570,1.9233,
9580,2.015,
9590,2.072,
9600,1.616,
9610,1.833,
9620,1.8299,
9630,1.9469,
9640,2.6037,
9650,1.9786,
9660,1.8371,
9670,1.8847,
9680,1.9231,
9690,2.1308,
