step,training_loss,validation_loss
8170,1.9244,
8180,2.1796,
8190,1.9324,
8200,2.1857,
8210,1.6984,
8220,1.8455,
8230,2.0506,
8240,2.359,
8250,1.8941,
8260,2.1334,
8270,1.9433,
8280,1.9605,
8290,1.7825,
8300,2.046,
8310,1.9717,
8320,2.0264,
8330,1.8267,
8340,1.9034,
8350,2.1775,
8360,1.7747,
8370,1.6251,
8380,1.8955,
8390,1.878,
8400,2.0161,
8410,1.8117,
8420,2.3939,
8430,2.3128,
8440,1.9644,
8450,1.874,
8460,1.9408,
8470,2.1604,
8480,1.7244,
8490,2.3272,
8500,2.1816,
8510,1.7535,
8520,1.9582,
8530,2.1319,
8540,1.9102,
8550,1.9775,
8560,2.0322,
8570,1.8707,
8580,1.8447,
8590,2.0671,
8600,1.8436,
8610,1.8918,
8620,1.8423,
8630,2.1327,
8640,1.9439,
8650,2.0172,
8660,2.0922,
8670,2.0596,
8680,1.8305,
8690,1.7101,
8700,1.9013,
8710,1.9145,
8720,2.2785,
8730,2.171,
8740,1.9358,
8750,1.9524,
8760,1.9433,
8770,1.9132,
8780,2.2708,
8790,1.8872,
8800,1.8253,
8810,2.0242,
8820,2.0866,
8830,1.868,
8840,2.0724,
8850,1.6666,
8860,2.4759,
8870,2.2398,
8880,1.7439,
8890,2.1111,
8900,2.3398,
8910,2.1204,
8920,1.8407,
8930,2.0668,
8940,1.8018,
8950,1.565,
8960,1.7456,
8970,2.1138,
8980,1.5527,
8990,2.3663,
9000,2.4106,
9010,1.8809,
9020,1.8371,
9030,1.951,
9040,1.9707,
9050,1.7872,
9060,2.0671,
9070,1.796,
9080,1.9727,
9090,1.8425,
9100,2.2146,
9110,2.0434,
9120,2.1064,
9130,1.8579,
9140,2.0282,
9150,1.9524,
9160,2.023,
9170,1.8851,
9180,2.078,
9190,2.0453,
9200,1.7997,
9210,2.1826,
9220,2.1585,
9230,2.3142,
9240,2.1475,
9250,1.9967,
9260,2.2039,
9270,1.9719,
9280,2.2086,
9290,2.1044,
9300,1.9152,
9310,1.6972,
9320,2.0575,
9330,1.9794,
9340,1.8608,
9350,2.3716,
9360,2.0506,
9370,1.8754,
9380,2.0439,
9390,1.8146,
9400,1.7762,
9410,2.0011,
9420,1.7953,
9430,1.8653,
9440,2.0662,
9450,2.0594,
9460,1.8969,
9470,2.2239,
9480,1.957,
9490,1.9228,
9500,1.8393,
9510,1.8139,
9520,1.8232,
9530,1.635,
9540,1.9958,
9550,1.9152,
9560,1.9084,
9570,1.8974,
9580,1.9821,
9590,2.0462,
9600,1.6118,
9610,1.8161,
9620,1.8081,
9630,1.9238,
9640,2.5526,
9650,1.9273,
9660,1.8199,
9670,1.8578,
9680,1.9162,
9690,2.015,
9700,2.0352,
9710,2.1592,
9720,1.7298,
9730,1.9492,
9740,1.9529,
9750,1.7114,
9760,2.1227,
9770,1.8379,
9780,1.7911,
9790,2.0103,
9800,2.0313,
9810,2.2115,
9820,1.9959,
9830,2.1119,
9840,1.775,
9850,1.8145,
9860,1.9685,
9870,1.7743,
9880,2.2561,
9890,1.609,
9900,1.9881,
9910,1.9705,
9920,2.0435,
9930,2.4813,
9940,1.9957,
9950,1.7602,
9960,1.698,
9970,1.8371,
9980,2.1053,
9990,1.9601,
10000,2.0016,
10010,1.8966,
10020,1.6832,
10030,1.9266,
10040,2.2408,
10050,1.791,
10060,2.2574,
10070,1.918,
10080,1.9952,
10090,2.2104,
10100,1.7852,
10110,1.8881,
10120,1.9524,
10130,1.7085,
10140,2.1065,
10150,2.0039,
10160,2.3135,
10170,2.2755,
10180,1.6782,
10190,2.0042,
10200,1.8964,
10210,2.0107,
10220,1.8237,
10230,1.8068,
10240,2.0879,
10250,2.0464,
10260,1.8475,
10270,1.9517,
10280,1.8622,
10290,2.1034,
10300,1.9221,
10310,1.8446,
10320,1.7876,
10330,1.8237,
10340,2.034,
10350,1.8478,
10360,2.2023,
10370,1.9456,
10380,2.0021,
10390,1.8344,
10400,2.1252,
10410,2.0743,
10420,2.1001,
10430,1.9521,
10440,1.8599,
10450,2.1132,
10460,1.7992,
10470,1.6905,
10480,2.2112,
10490,1.7981,
10500,1.7691,
10510,2.0628,
10520,1.9639,
10530,2.1421,
10540,1.7701,
10550,2.543,
10560,1.9272,
10570,1.8864,
10580,1.9533,
10590,2.3496,
10600,1.7773,
10610,1.8316,
10620,1.9659,
10630,2.0048,
10640,2.3035,
10650,1.8121,
10660,1.8054,
10670,1.7929,
10680,1.9467,
10690,1.9399,
10700,1.9547,
10710,1.8709,
10720,2.0832,
10730,1.8996,
10740,1.8717,
10750,1.7944,
10760,1.9384,
10770,1.5982,
10780,2.0317,
10790,2.1228,
10800,1.8996,
10810,1.9766,
10820,1.9389,
10830,2.2553,
10840,1.8546,
10850,1.8172,
10860,1.73,
10870,2.0116,
10880,2.0347,
10890,2.1715,
10900,1.8371,
10910,1.6393,
10920,2.0461,
10930,1.7619,
10940,2.2268,
10950,2.0141,
10960,1.9624,
10970,1.7638,
10980,2.0251,
10990,2.1382,
11000,2.0883,
11010,1.6002,
11020,1.7715,
11030,2.1254,
11040,1.623,
11050,1.8197,
11060,2.1905,
11070,1.9111,
11080,1.8485,
11090,2.1831,
11100,1.9423,
11110,2.1066,
11120,1.8658,
11130,1.7494,
11140,1.9121,
11150,2.1683,
11160,2.0678,
11170,1.8776,
11180,2.0559,
11190,2.0628,
11200,1.9574,
11210,2.2183,
11220,2.0574,
11230,2.1214,
11240,1.825,
11250,1.8312,
11260,1.9432,
11270,1.9412,
11280,1.7315,
11290,1.9826,
11300,1.8764,
11310,2.1244,
11320,2.0702,
11330,1.9846,
11340,2.1087,
11350,2.0032,
11360,2.1222,
11370,1.9566,
11380,1.8697,
11390,1.8079,
11400,2.0972,
11410,2.0096,
11420,1.8316,
11430,2.1324,
11440,2.0086,
11450,1.7551,
